Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,20
Horizontal Delay,0
Sample Interval,0.002
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,2
,
,
,
Label,
TIME,CH3
-98.99,-0.0164
-98.988,-0.016
-98.986,-0.0164
-98.984,-0.0162
-98.982,-0.0148
-98.98,-0.0164
-98.978,-0.0154
-98.976,-0.0156
-98.974,-0.0164
-98.972,-0.0156
-98.97,-0.0164
-98.968,-0.0156
-98.966,-0.015
-98.964,-0.0154
-98.962,-0.015
-98.96,-0.016
-98.958,-0.0164
-98.956,-0.0158
-98.954,-0.0166
-98.952,-0.0154
-98.95,-0.0152
-98.948,-0.016
-98.946,-0.0156
-98.944,-0.0164
-98.942,-0.016
-98.94,-0.015
-98.938,-0.0154
-98.936,-0.0158
-98.934,-0.0158
-98.932,-0.0174
-98.93,-0.0156
-98.928,-0.0166
-98.926,-0.0166
-98.924,-0.0154
-98.922,-0.0162
-98.92,-0.016
-98.918,-0.0156
-98.916,-0.016
-98.914,-0.0152
-98.912,-0.0156
-98.91,-0.017
-98.908,-0.016
-98.906,-0.0162
-98.904,-0.0162
-98.902,-0.016
-98.9,-0.0176
-98.898,-0.0156
-98.896,-0.0166
-98.894,-0.0156
-98.892,-0.016
-98.89,-0.015
-98.888,-0.0156
-98.886,-0.0158
-98.884,-0.0146
-98.882,-0.0152
-98.88,-0.016
-98.878,-0.0154
-98.876,-0.0154
-98.874,-0.0162
-98.872,-0.0162
-98.87,-0.0154
-98.868,-0.016
-98.866,-0.0158
-98.864,-0.0172
-98.862,-0.0154
-98.86,-0.016
-98.858,-0.016
-98.856,-0.018
-98.854,-0.0162
-98.852,-0.0164
-98.85,-0.0172
-98.848,-0.0156
-98.846,-0.016
-98.844,-0.0168
-98.842,-0.0158
-98.84,-0.016
-98.838,-0.0162
-98.836,-0.0158
-98.834,-0.0168
-98.832,-0.0148
-98.83,-0.0152
-98.828,-0.0158
-98.826,-0.0162
-98.824,-0.016
-98.822,-0.0162
-98.82,-0.0152
-98.818,-0.0166
-98.816,-0.0158
-98.814,-0.0166
-98.812,-0.0168
-98.81,-0.0154
-98.808,-0.0164
-98.806,-0.0158
